,snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
0,2019/04/28 20:00:00,2019-04-28T19:00:00,"{'bid': 1.11496, 'ask': 1.11549, 'lastTraded': None}","{'bid': 1.11434, 'ask': 1.11492, 'lastTraded': None}","{'bid': 1.11496, 'ask': 1.11549, 'lastTraded': None}","{'bid': 1.11375, 'ask': 1.1145, 'lastTraded': None}",236
1,2019/04/28 22:00:00,2019-04-28T21:00:00,"{'bid': 1.11443, 'ask': 1.11483, 'lastTraded': None}","{'bid': 1.11501, 'ask': 1.11516, 'lastTraded': None}","{'bid': 1.11507, 'ask': 1.11531, 'lastTraded': None}","{'bid': 1.11427, 'ask': 1.11481, 'lastTraded': None}",4289
2,2019/04/29 00:00:00,2019-04-28T23:00:00,"{'bid': 1.11505, 'ask': 1.1152, 'lastTraded': None}","{'bid': 1.11486, 'ask': 1.11492, 'lastTraded': None}","{'bid': 1.11515, 'ask': 1.11526, 'lastTraded': None}","{'bid': 1.11469, 'ask': 1.11477, 'lastTraded': None}",4195
3,2019/04/29 02:00:00,2019-04-29T01:00:00,"{'bid': 1.11487, 'ask': 1.11493, 'lastTraded': None}","{'bid': 1.11577, 'ask': 1.11583, 'lastTraded': None}","{'bid': 1.11579, 'ask': 1.11585, 'lastTraded': None}","{'bid': 1.11448, 'ask': 1.11454, 'lastTraded': None}",4333
4,2019/04/29 04:00:00,2019-04-29T03:00:00,"{'bid': 1.11576, 'ask': 1.11582, 'lastTraded': None}","{'bid': 1.11582, 'ask': 1.11588, 'lastTraded': None}","{'bid': 1.11599, 'ask': 1.11605, 'lastTraded': None}","{'bid': 1.11554, 'ask': 1.1156, 'lastTraded': None}",3332
5,2019/04/29 06:00:00,2019-04-29T05:00:00,"{'bid': 1.11584, 'ask': 1.1159, 'lastTraded': None}","{'bid': 1.11592, 'ask': 1.11598, 'lastTraded': None}","{'bid': 1.1166, 'ask': 1.11666, 'lastTraded': None}","{'bid': 1.11559, 'ask': 1.11565, 'lastTraded': None}",6947
6,2019/04/29 08:00:00,2019-04-29T07:00:00,"{'bid': 1.11591, 'ask': 1.11597, 'lastTraded': None}","{'bid': 1.11648, 'ask': 1.11654, 'lastTraded': None}","{'bid': 1.1167, 'ask': 1.11676, 'lastTraded': None}","{'bid': 1.11556, 'ask': 1.11562, 'lastTraded': None}",12086
7,2019/04/29 10:00:00,2019-04-29T09:00:00,"{'bid': 1.11647, 'ask': 1.11653, 'lastTraded': None}","{'bid': 1.11528, 'ask': 1.11534, 'lastTraded': None}","{'bid': 1.11657, 'ask': 1.11663, 'lastTraded': None}","{'bid': 1.11511, 'ask': 1.11517, 'lastTraded': None}",8264
8,2019/04/29 12:00:00,2019-04-29T11:00:00,"{'bid': 1.11527, 'ask': 1.11533, 'lastTraded': None}","{'bid': 1.11553, 'ask': 1.11559, 'lastTraded': None}","{'bid': 1.11613, 'ask': 1.11623, 'lastTraded': None}","{'bid': 1.1145, 'ask': 1.11456, 'lastTraded': None}",14424
9,2019/04/29 14:00:00,2019-04-29T13:00:00,"{'bid': 1.11551, 'ask': 1.11557, 'lastTraded': None}","{'bid': 1.11659, 'ask': 1.11665, 'lastTraded': None}","{'bid': 1.11676, 'ask': 1.11682, 'lastTraded': None}","{'bid': 1.11486, 'ask': 1.11492, 'lastTraded': None}",17093
10,2019/04/29 16:00:00,2019-04-29T15:00:00,"{'bid': 1.1166, 'ask': 1.11666, 'lastTraded': None}","{'bid': 1.11809, 'ask': 1.11815, 'lastTraded': None}","{'bid': 1.11839, 'ask': 1.11849, 'lastTraded': None}","{'bid': 1.11629, 'ask': 1.11635, 'lastTraded': None}",13828
11,2019/04/29 18:00:00,2019-04-29T17:00:00,"{'bid': 1.1181, 'ask': 1.11816, 'lastTraded': None}","{'bid': 1.11829, 'ask': 1.11835, 'lastTraded': None}","{'bid': 1.11867, 'ask': 1.11876, 'lastTraded': None}","{'bid': 1.11764, 'ask': 1.1177, 'lastTraded': None}",9365
12,2019/04/29 20:00:00,2019-04-29T19:00:00,"{'bid': 1.11828, 'ask': 1.11834, 'lastTraded': None}","{'bid': 1.11859, 'ask': 1.11874, 'lastTraded': None}","{'bid': 1.11859, 'ask': 1.11874, 'lastTraded': None}","{'bid': 1.11815, 'ask': 1.11821, 'lastTraded': None}",4990
13,2019/04/29 22:00:00,2019-04-29T21:00:00,"{'bid': 1.11858, 'ask': 1.11873, 'lastTraded': None}","{'bid': 1.11842, 'ask': 1.11848, 'lastTraded': None}","{'bid': 1.11858, 'ask': 1.11876, 'lastTraded': None}","{'bid': 1.1181, 'ask': 1.11829, 'lastTraded': None}",4524
14,2019/04/30 00:00:00,2019-04-29T23:00:00,"{'bid': 1.11838, 'ask': 1.11853, 'lastTraded': None}","{'bid': 1.11897, 'ask': 1.11903, 'lastTraded': None}","{'bid': 1.11912, 'ask': 1.11918, 'lastTraded': None}","{'bid': 1.11826, 'ask': 1.11832, 'lastTraded': None}",3371
15,2019/04/30 02:00:00,2019-04-30T01:00:00,"{'bid': 1.11896, 'ask': 1.11902, 'lastTraded': None}","{'bid': 1.11882, 'ask': 1.11888, 'lastTraded': None}","{'bid': 1.11899, 'ask': 1.11906, 'lastTraded': None}","{'bid': 1.11786, 'ask': 1.11796, 'lastTraded': None}",7211
16,2019/04/30 04:00:00,2019-04-30T03:00:00,"{'bid': 1.11884, 'ask': 1.1189, 'lastTraded': None}","{'bid': 1.11882, 'ask': 1.11888, 'lastTraded': None}","{'bid': 1.11928, 'ask': 1.11934, 'lastTraded': None}","{'bid': 1.11853, 'ask': 1.11859, 'lastTraded': None}",3354
