,snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
0,2019/04/28 20:00:00,2019-04-28T19:00:00,"{'bid': 7.51014, 'ask': 7.53078, 'lastTraded': None}","{'bid': 7.506, 'ask': 7.5262, 'lastTraded': None}","{'bid': 7.51021, 'ask': 7.53078, 'lastTraded': None}","{'bid': 7.5028, 'ask': 7.52411, 'lastTraded': None}",90
1,2019/04/28 22:00:00,2019-04-28T21:00:00,"{'bid': 7.50596, 'ask': 7.52695, 'lastTraded': None}","{'bid': 7.51586, 'ask': 7.52036, 'lastTraded': None}","{'bid': 7.51685, 'ask': 7.5307, 'lastTraded': None}","{'bid': 7.50596, 'ask': 7.5186, 'lastTraded': None}",2182
2,2019/04/29 00:00:00,2019-04-28T23:00:00,"{'bid': 7.5158, 'ask': 7.5203, 'lastTraded': None}","{'bid': 7.51215, 'ask': 7.51665, 'lastTraded': None}","{'bid': 7.51741, 'ask': 7.5228, 'lastTraded': None}","{'bid': 7.50893, 'ask': 7.51343, 'lastTraded': None}",3676
3,2019/04/29 02:00:00,2019-04-29T01:00:00,"{'bid': 7.51205, 'ask': 7.51655, 'lastTraded': None}","{'bid': 7.51626, 'ask': 7.51926, 'lastTraded': None}","{'bid': 7.51868, 'ask': 7.52238, 'lastTraded': None}","{'bid': 7.5091, 'ask': 7.5136, 'lastTraded': None}",6655
4,2019/04/29 04:00:00,2019-04-29T03:00:00,"{'bid': 7.51551, 'ask': 7.52001, 'lastTraded': None}","{'bid': 7.51542, 'ask': 7.51842, 'lastTraded': None}","{'bid': 7.51731, 'ask': 7.52089, 'lastTraded': None}","{'bid': 7.51385, 'ask': 7.51752, 'lastTraded': None}",4577
5,2019/04/29 06:00:00,2019-04-29T05:00:00,"{'bid': 7.51475, 'ask': 7.51925, 'lastTraded': None}","{'bid': 7.51799, 'ask': 7.52099, 'lastTraded': None}","{'bid': 7.51973, 'ask': 7.52353, 'lastTraded': None}","{'bid': 7.51393, 'ask': 7.51756, 'lastTraded': None}",7017
6,2019/04/29 08:00:00,2019-04-29T07:00:00,"{'bid': 7.51798, 'ask': 7.52098, 'lastTraded': None}","{'bid': 7.52449, 'ask': 7.52749, 'lastTraded': None}","{'bid': 7.52655, 'ask': 7.5301, 'lastTraded': None}","{'bid': 7.51575, 'ask': 7.51952, 'lastTraded': None}",12644
7,2019/04/29 10:00:00,2019-04-29T09:00:00,"{'bid': 7.5245, 'ask': 7.5275, 'lastTraded': None}","{'bid': 7.51613, 'ask': 7.52063, 'lastTraded': None}","{'bid': 7.5261, 'ask': 7.52976, 'lastTraded': None}","{'bid': 7.51415, 'ask': 7.51773, 'lastTraded': None}",9193
8,2019/04/29 12:00:00,2019-04-29T11:00:00,"{'bid': 7.51615, 'ask': 7.52065, 'lastTraded': None}","{'bid': 7.52048, 'ask': 7.52498, 'lastTraded': None}","{'bid': 7.52167, 'ask': 7.52555, 'lastTraded': None}","{'bid': 7.51384, 'ask': 7.51747, 'lastTraded': None}",12087
9,2019/04/29 14:00:00,2019-04-29T13:00:00,"{'bid': 7.52106, 'ask': 7.52406, 'lastTraded': None}","{'bid': 7.52945, 'ask': 7.53245, 'lastTraded': None}","{'bid': 7.52949, 'ask': 7.53321, 'lastTraded': None}","{'bid': 7.51865, 'ask': 7.52165, 'lastTraded': None}",14251
10,2019/04/29 16:00:00,2019-04-29T15:00:00,"{'bid': 7.52923, 'ask': 7.53223, 'lastTraded': None}","{'bid': 7.53696, 'ask': 7.53996, 'lastTraded': None}","{'bid': 7.5375, 'ask': 7.54122, 'lastTraded': None}","{'bid': 7.52515, 'ask': 7.5288, 'lastTraded': None}",11701
11,2019/04/29 18:00:00,2019-04-29T17:00:00,"{'bid': 7.5362, 'ask': 7.5407, 'lastTraded': None}","{'bid': 7.53665, 'ask': 7.54115, 'lastTraded': None}","{'bid': 7.54022, 'ask': 7.5439, 'lastTraded': None}","{'bid': 7.534, 'ask': 7.5378, 'lastTraded': None}",7891
12,2019/04/29 20:00:00,2019-04-29T19:00:00,"{'bid': 7.53661, 'ask': 7.54111, 'lastTraded': None}","{'bid': 7.53828, 'ask': 7.54278, 'lastTraded': None}","{'bid': 7.539, 'ask': 7.5435, 'lastTraded': None}","{'bid': 7.5358, 'ask': 7.53951, 'lastTraded': None}",4498
13,2019/04/29 22:00:00,2019-04-29T21:00:00,"{'bid': 7.53834, 'ask': 7.54284, 'lastTraded': None}","{'bid': 7.53737, 'ask': 7.54187, 'lastTraded': None}","{'bid': 7.53918, 'ask': 7.5457, 'lastTraded': None}","{'bid': 7.53313, 'ask': 7.5382, 'lastTraded': None}",4463
