,snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
0,2019/04/28 22:00:00,2019-04-28T21:00:00,"{'bid': 7437.6, 'ask': 7441.6, 'lastTraded': None}","{'bid': 7435.4, 'ask': 7439.4, 'lastTraded': None}","{'bid': 7438.5, 'ask': 7442.5, 'lastTraded': None}","{'bid': 7434.3, 'ask': 7438.3, 'lastTraded': None}",0
1,2019/04/29 00:00:00,2019-04-28T23:00:00,"{'bid': 7435.6, 'ask': 7439.6, 'lastTraded': None}","{'bid': 7437.7, 'ask': 7440.7, 'lastTraded': None}","{'bid': 7442.2, 'ask': 7445.2, 'lastTraded': None}","{'bid': 7432.7, 'ask': 7436.7, 'lastTraded': None}",89
2,2019/04/29 02:00:00,2019-04-29T01:00:00,"{'bid': 7437.9, 'ask': 7440.9, 'lastTraded': None}","{'bid': 7437.2, 'ask': 7440.2, 'lastTraded': None}","{'bid': 7442.9, 'ask': 7445.9, 'lastTraded': None}","{'bid': 7436.2, 'ask': 7439.2, 'lastTraded': None}",126
3,2019/04/29 04:00:00,2019-04-29T03:00:00,"{'bid': 7437.4, 'ask': 7440.4, 'lastTraded': None}","{'bid': 7437.7, 'ask': 7440.7, 'lastTraded': None}","{'bid': 7440.4, 'ask': 7443.4, 'lastTraded': None}","{'bid': 7436.9, 'ask': 7439.9, 'lastTraded': None}",49
4,2019/04/29 06:00:00,2019-04-29T05:00:00,"{'bid': 7437.4, 'ask': 7440.4, 'lastTraded': None}","{'bid': 7439.4, 'ask': 7441.4, 'lastTraded': None}","{'bid': 7441.7, 'ask': 7444.2, 'lastTraded': None}","{'bid': 7431.9, 'ask': 7433.9, 'lastTraded': None}",1059
5,2019/04/29 08:00:00,2019-04-29T07:00:00,"{'bid': 7439.9, 'ask': 7440.9, 'lastTraded': None}","{'bid': 7425.2, 'ask': 7426.2, 'lastTraded': None}","{'bid': 7445.0, 'ask': 7446.0, 'lastTraded': None}","{'bid': 7421.9, 'ask': 7422.9, 'lastTraded': None}",9256
6,2019/04/29 10:00:00,2019-04-29T09:00:00,"{'bid': 7425.5, 'ask': 7426.5, 'lastTraded': None}","{'bid': 7417.5, 'ask': 7418.5, 'lastTraded': None}","{'bid': 7428.2, 'ask': 7429.2, 'lastTraded': None}","{'bid': 7404.0, 'ask': 7405.0, 'lastTraded': None}",7688
7,2019/04/29 12:00:00,2019-04-29T11:00:00,"{'bid': 7417.7, 'ask': 7418.7, 'lastTraded': None}","{'bid': 7443.8, 'ask': 7444.8, 'lastTraded': None}","{'bid': 7446.0, 'ask': 7447.0, 'lastTraded': None}","{'bid': 7414.0, 'ask': 7415.0, 'lastTraded': None}",7392
8,2019/04/29 14:00:00,2019-04-29T13:00:00,"{'bid': 7443.5, 'ask': 7444.5, 'lastTraded': None}","{'bid': 7447.0, 'ask': 7448.0, 'lastTraded': None}","{'bid': 7456.5, 'ask': 7457.5, 'lastTraded': None}","{'bid': 7436.7, 'ask': 7437.7, 'lastTraded': None}",12779
9,2019/04/29 16:00:00,2019-04-29T15:00:00,"{'bid': 7447.5, 'ask': 7448.5, 'lastTraded': None}","{'bid': 7455.5, 'ask': 7457.5, 'lastTraded': None}","{'bid': 7456.0, 'ask': 7458.0, 'lastTraded': None}","{'bid': 7437.0, 'ask': 7439.0, 'lastTraded': None}",12622
10,2019/04/29 18:00:00,2019-04-29T17:00:00,"{'bid': 7455.2, 'ask': 7457.2, 'lastTraded': None}","{'bid': 7451.2, 'ask': 7453.2, 'lastTraded': None}","{'bid': 7455.2, 'ask': 7457.2, 'lastTraded': None}","{'bid': 7450.7, 'ask': 7452.7, 'lastTraded': None}",972
11,2019/04/29 20:00:00,2019-04-29T19:00:00,"{'bid': 7451.0, 'ask': 7453.0, 'lastTraded': None}","{'bid': 7449.5, 'ask': 7453.5, 'lastTraded': None}","{'bid': 7460.0, 'ask': 7462.0, 'lastTraded': None}","{'bid': 7445.1, 'ask': 7449.1, 'lastTraded': None}",1927
12,2019/04/29 22:00:00,2019-04-29T21:00:00,"{'bid': 7449.4, 'ask': 7453.4, 'lastTraded': None}","{'bid': 7448.5, 'ask': 7452.5, 'lastTraded': None}","{'bid': 7450.5, 'ask': 7454.5, 'lastTraded': None}","{'bid': 7447.0, 'ask': 7451.0, 'lastTraded': None}",0
13,2019/04/30 00:00:00,2019-04-29T23:00:00,"{'bid': 7448.0, 'ask': 7452.0, 'lastTraded': None}","{'bid': 7443.7, 'ask': 7446.7, 'lastTraded': None}","{'bid': 7449.4, 'ask': 7453.4, 'lastTraded': None}","{'bid': 7440.2, 'ask': 7443.2, 'lastTraded': None}",272
14,2019/04/30 02:00:00,2019-04-30T01:00:00,"{'bid': 7444.0, 'ask': 7447.0, 'lastTraded': None}","{'bid': 7442.7, 'ask': 7445.7, 'lastTraded': None}","{'bid': 7444.5, 'ask': 7447.5, 'lastTraded': None}","{'bid': 7432.5, 'ask': 7435.5, 'lastTraded': None}",192
15,2019/04/30 04:00:00,2019-04-30T03:00:00,"{'bid': 7443.5, 'ask': 7446.5, 'lastTraded': None}","{'bid': 7442.7, 'ask': 7445.7, 'lastTraded': None}","{'bid': 7445.0, 'ask': 7448.0, 'lastTraded': None}","{'bid': 7441.2, 'ask': 7444.2, 'lastTraded': None}",110
16,2019/04/30 06:00:00,2019-04-30T05:00:00,"{'bid': 7442.2, 'ask': 7445.2, 'lastTraded': None}","{'bid': 7438.2, 'ask': 7440.2, 'lastTraded': None}","{'bid': 7448.2, 'ask': 7451.2, 'lastTraded': None}","{'bid': 7434.7, 'ask': 7436.7, 'lastTraded': None}",789
17,2019/04/30 08:00:00,2019-04-30T07:00:00,"{'bid': 7438.7, 'ask': 7439.7, 'lastTraded': None}","{'bid': 7426.9, 'ask': 7427.9, 'lastTraded': None}","{'bid': 7456.5, 'ask': 7457.5, 'lastTraded': None}","{'bid': 7417.4, 'ask': 7418.4, 'lastTraded': None}",13765
18,2019/04/30 10:00:00,2019-04-30T09:00:00,"{'bid': 7427.9, 'ask': 7428.9, 'lastTraded': None}","{'bid': 7423.9, 'ask': 7424.9, 'lastTraded': None}","{'bid': 7432.9, 'ask': 7433.9, 'lastTraded': None}","{'bid': 7416.2, 'ask': 7417.2, 'lastTraded': None}",7157
19,2019/04/30 12:00:00,2019-04-30T11:00:00,"{'bid': 7424.7, 'ask': 7425.7, 'lastTraded': None}","{'bid': 7413.0, 'ask': 7414.0, 'lastTraded': None}","{'bid': 7434.0, 'ask': 7435.0, 'lastTraded': None}","{'bid': 7412.0, 'ask': 7413.0, 'lastTraded': None}",8238
20,2019/04/30 14:00:00,2019-04-30T13:00:00,"{'bid': 7412.7, 'ask': 7413.7, 'lastTraded': None}","{'bid': 7408.4, 'ask': 7409.4, 'lastTraded': None}","{'bid': 7413.0, 'ask': 7414.0, 'lastTraded': None}","{'bid': 7392.5, 'ask': 7393.5, 'lastTraded': None}",16984
21,2019/04/30 16:00:00,2019-04-30T15:00:00,"{'bid': 7408.9, 'ask': 7409.9, 'lastTraded': None}","{'bid': 7425.4, 'ask': 7427.4, 'lastTraded': None}","{'bid': 7432.6, 'ask': 7434.6, 'lastTraded': None}","{'bid': 7396.9, 'ask': 7397.9, 'lastTraded': None}",26627
22,2019/04/30 18:00:00,2019-04-30T17:00:00,"{'bid': 7425.1, 'ask': 7427.1, 'lastTraded': None}","{'bid': 7431.9, 'ask': 7433.9, 'lastTraded': None}","{'bid': 7435.4, 'ask': 7437.4, 'lastTraded': None}","{'bid': 7421.9, 'ask': 7423.9, 'lastTraded': None}",3105
23,2019/04/30 20:00:00,2019-04-30T19:00:00,"{'bid': 7432.1, 'ask': 7434.1, 'lastTraded': None}","{'bid': 7446.3, 'ask': 7450.3, 'lastTraded': None}","{'bid': 7450.4, 'ask': 7454.4, 'lastTraded': None}","{'bid': 7426.4, 'ask': 7430.4, 'lastTraded': None}",3070
24,2019/04/30 22:00:00,2019-04-30T21:00:00,"{'bid': 7446.7, 'ask': 7450.7, 'lastTraded': None}","{'bid': 7442.2, 'ask': 7446.2, 'lastTraded': None}","{'bid': 7447.2, 'ask': 7451.2, 'lastTraded': None}","{'bid': 7438.9, 'ask': 7442.9, 'lastTraded': None}",0
25,2019/05/01 00:00:00,2019-04-30T23:00:00,"{'bid': 7442.1, 'ask': 7446.1, 'lastTraded': None}","{'bid': 7444.9, 'ask': 7447.9, 'lastTraded': None}","{'bid': 7446.4, 'ask': 7449.4, 'lastTraded': None}","{'bid': 7439.9, 'ask': 7443.9, 'lastTraded': None}",135
26,2019/05/01 02:00:00,2019-05-01T01:00:00,"{'bid': 7446.1, 'ask': 7449.1, 'lastTraded': None}","{'bid': 7451.6, 'ask': 7454.6, 'lastTraded': None}","{'bid': 7451.6, 'ask': 7454.6, 'lastTraded': None}","{'bid': 7441.6, 'ask': 7444.6, 'lastTraded': None}",143
27,2019/05/01 04:00:00,2019-05-01T03:00:00,"{'bid': 7451.4, 'ask': 7454.4, 'lastTraded': None}","{'bid': 7450.1, 'ask': 7453.1, 'lastTraded': None}","{'bid': 7452.6, 'ask': 7455.6, 'lastTraded': None}","{'bid': 7449.6, 'ask': 7452.6, 'lastTraded': None}",95
28,2019/05/01 06:00:00,2019-05-01T05:00:00,"{'bid': 7450.4, 'ask': 7453.4, 'lastTraded': None}","{'bid': 7449.4, 'ask': 7451.4, 'lastTraded': None}","{'bid': 7459.6, 'ask': 7461.6, 'lastTraded': None}","{'bid': 7448.1, 'ask': 7451.1, 'lastTraded': None}",951
29,2019/05/01 08:00:00,2019-05-01T07:00:00,"{'bid': 7449.9, 'ask': 7450.9, 'lastTraded': None}","{'bid': 7433.2, 'ask': 7434.2, 'lastTraded': None}","{'bid': 7449.9, 'ask': 7450.9, 'lastTraded': None}","{'bid': 7429.2, 'ask': 7430.2, 'lastTraded': None}",9030
30,2019/05/01 10:00:00,2019-05-01T09:00:00,"{'bid': 7433.4, 'ask': 7434.4, 'lastTraded': None}","{'bid': 7405.7, 'ask': 7406.7, 'lastTraded': None}","{'bid': 7433.7, 'ask': 7434.7, 'lastTraded': None}","{'bid': 7401.7, 'ask': 7402.7, 'lastTraded': None}",5638
31,2019/05/01 12:00:00,2019-05-01T11:00:00,"{'bid': 7406.4, 'ask': 7407.4, 'lastTraded': None}","{'bid': 7418.3, 'ask': 7419.3, 'lastTraded': None}","{'bid': 7420.8, 'ask': 7421.8, 'lastTraded': None}","{'bid': 7403.9, 'ask': 7404.9, 'lastTraded': None}",5138
32,2019/05/01 14:00:00,2019-05-01T13:00:00,"{'bid': 7418.0, 'ask': 7419.0, 'lastTraded': None}","{'bid': 7381.0, 'ask': 7382.0, 'lastTraded': None}","{'bid': 7418.3, 'ask': 7419.3, 'lastTraded': None}","{'bid': 7380.5, 'ask': 7381.5, 'lastTraded': None}",12373
33,2019/05/01 16:00:00,2019-05-01T15:00:00,"{'bid': 7380.5, 'ask': 7381.5, 'lastTraded': None}","{'bid': 7363.5, 'ask': 7365.5, 'lastTraded': None}","{'bid': 7386.0, 'ask': 7387.0, 'lastTraded': None}","{'bid': 7360.2, 'ask': 7362.2, 'lastTraded': None}",10018
34,2019/05/01 18:00:00,2019-05-01T17:00:00,"{'bid': 7363.7, 'ask': 7365.7, 'lastTraded': None}","{'bid': 7366.7, 'ask': 7368.7, 'lastTraded': None}","{'bid': 7371.5, 'ask': 7373.5, 'lastTraded': None}","{'bid': 7354.5, 'ask': 7356.5, 'lastTraded': None}",3528
35,2019/05/01 20:00:00,2019-05-01T19:00:00,"{'bid': 7366.5, 'ask': 7368.5, 'lastTraded': None}","{'bid': 7322.4, 'ask': 7326.4, 'lastTraded': None}","{'bid': 7369.0, 'ask': 7371.0, 'lastTraded': None}","{'bid': 7320.2, 'ask': 7324.2, 'lastTraded': None}",3048
36,2019/05/01 22:00:00,2019-05-01T21:00:00,"{'bid': 7322.3, 'ask': 7326.3, 'lastTraded': None}","{'bid': 7333.9, 'ask': 7337.9, 'lastTraded': None}","{'bid': 7334.5, 'ask': 7338.5, 'lastTraded': None}","{'bid': 7321.6, 'ask': 7325.6, 'lastTraded': None}",0
37,2019/05/02 00:00:00,2019-05-01T23:00:00,"{'bid': 7334.4, 'ask': 7338.4, 'lastTraded': None}","{'bid': 7346.0, 'ask': 7349.0, 'lastTraded': None}","{'bid': 7346.5, 'ask': 7349.5, 'lastTraded': None}","{'bid': 7333.2, 'ask': 7337.2, 'lastTraded': None}",502
38,2019/05/02 02:00:00,2019-05-02T01:00:00,"{'bid': 7346.2, 'ask': 7349.2, 'lastTraded': None}","{'bid': 7347.7, 'ask': 7350.7, 'lastTraded': None}","{'bid': 7350.7, 'ask': 7353.7, 'lastTraded': None}","{'bid': 7344.7, 'ask': 7347.7, 'lastTraded': None}",125
