,snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
0,2019/04/23 00:00:00,2019-04-22T23:00:00,"{'bid': 2909.05, 'ask': 2909.65, 'lastTraded': None}","{'bid': 2906.05, 'ask': 2906.65, 'lastTraded': None}","{'bid': 2910.3, 'ask': 2910.9, 'lastTraded': None}","{'bid': 2905.8, 'ask': 2906.4, 'lastTraded': None}",10035
1,2019/04/23 02:00:00,2019-04-23T01:00:00,"{'bid': 2906.3, 'ask': 2906.9, 'lastTraded': None}","{'bid': 2907.3, 'ask': 2907.9, 'lastTraded': None}","{'bid': 2908.3, 'ask': 2908.9, 'lastTraded': None}","{'bid': 2904.55, 'ask': 2905.15, 'lastTraded': None}",19535
2,2019/04/23 04:00:00,2019-04-23T03:00:00,"{'bid': 2907.55, 'ask': 2908.15, 'lastTraded': None}","{'bid': 2908.3, 'ask': 2908.9, 'lastTraded': None}","{'bid': 2908.55, 'ask': 2909.15, 'lastTraded': None}","{'bid': 2906.8, 'ask': 2907.4, 'lastTraded': None}",5016
3,2019/04/23 06:00:00,2019-04-23T05:00:00,"{'bid': 2908.55, 'ask': 2909.15, 'lastTraded': None}","{'bid': 2909.3, 'ask': 2909.9, 'lastTraded': None}","{'bid': 2910.8, 'ask': 2911.4, 'lastTraded': None}","{'bid': 2908.3, 'ask': 2908.9, 'lastTraded': None}",10021
4,2019/04/23 08:00:00,2019-04-23T07:00:00,"{'bid': 2909.05, 'ask': 2909.65, 'lastTraded': None}","{'bid': 2907.8, 'ask': 2908.4, 'lastTraded': None}","{'bid': 2909.3, 'ask': 2909.9, 'lastTraded': None}","{'bid': 2905.55, 'ask': 2906.15, 'lastTraded': None}",19934
5,2019/04/23 10:00:00,2019-04-23T09:00:00,"{'bid': 2907.55, 'ask': 2908.15, 'lastTraded': None}","{'bid': 2906.55, 'ask': 2907.15, 'lastTraded': None}","{'bid': 2907.55, 'ask': 2908.15, 'lastTraded': None}","{'bid': 2905.55, 'ask': 2906.15, 'lastTraded': None}",13188
6,2019/04/23 12:00:00,2019-04-23T11:00:00,"{'bid': 2906.67, 'ask': 2907.27, 'lastTraded': None}","{'bid': 2910.05, 'ask': 2910.65, 'lastTraded': None}","{'bid': 2913.05, 'ask': 2913.65, 'lastTraded': None}","{'bid': 2906.55, 'ask': 2907.15, 'lastTraded': None}",44985
7,2019/04/23 14:00:00,2019-04-23T13:00:00,"{'bid': 2910.3, 'ask': 2910.9, 'lastTraded': None}","{'bid': 2920.6, 'ask': 2921.0, 'lastTraded': None}","{'bid': 2921.1, 'ask': 2921.5, 'lastTraded': None}","{'bid': 2908.9, 'ask': 2909.3, 'lastTraded': None}",319591
8,2019/04/23 16:00:00,2019-04-23T15:00:00,"{'bid': 2920.85, 'ask': 2921.25, 'lastTraded': None}","{'bid': 2933.35, 'ask': 2933.75, 'lastTraded': None}","{'bid': 2936.35, 'ask': 2936.75, 'lastTraded': None}","{'bid': 2920.6, 'ask': 2921.0, 'lastTraded': None}",323331
9,2019/04/23 18:00:00,2019-04-23T17:00:00,"{'bid': 2933.6, 'ask': 2934.0, 'lastTraded': None}","{'bid': 2933.91, 'ask': 2934.31, 'lastTraded': None}","{'bid': 2934.66, 'ask': 2935.06, 'lastTraded': None}","{'bid': 2931.16, 'ask': 2931.56, 'lastTraded': None}",160932
10,2019/04/23 20:00:00,2019-04-23T19:00:00,"{'bid': 2933.66, 'ask': 2934.06, 'lastTraded': None}","{'bid': 2933.58, 'ask': 2935.08, 'lastTraded': None}","{'bid': 2936.18, 'ask': 2936.78, 'lastTraded': None}","{'bid': 2930.41, 'ask': 2930.81, 'lastTraded': None}",221846
11,2019/04/23 22:00:00,2019-04-23T21:00:00,"{'bid': 2933.91, 'ask': 2935.41, 'lastTraded': None}","{'bid': 2934.81, 'ask': 2935.41, 'lastTraded': None}","{'bid': 2935.06, 'ask': 2935.66, 'lastTraded': None}","{'bid': 2933.27, 'ask': 2934.16, 'lastTraded': None}",3511
12,2019/04/24 00:00:00,2019-04-23T23:00:00,"{'bid': 2935.06, 'ask': 2935.66, 'lastTraded': None}","{'bid': 2935.31, 'ask': 2935.91, 'lastTraded': None}","{'bid': 2935.81, 'ask': 2936.41, 'lastTraded': None}","{'bid': 2934.56, 'ask': 2935.16, 'lastTraded': None}",9531
13,2019/04/24 02:00:00,2019-04-24T01:00:00,"{'bid': 2935.06, 'ask': 2935.66, 'lastTraded': None}","{'bid': 2932.56, 'ask': 2933.16, 'lastTraded': None}","{'bid': 2935.81, 'ask': 2936.41, 'lastTraded': None}","{'bid': 2932.06, 'ask': 2932.66, 'lastTraded': None}",17647
14,2019/04/24 04:00:00,2019-04-24T03:00:00,"{'bid': 2932.31, 'ask': 2932.91, 'lastTraded': None}","{'bid': 2930.31, 'ask': 2930.91, 'lastTraded': None}","{'bid': 2933.06, 'ask': 2933.66, 'lastTraded': None}","{'bid': 2928.56, 'ask': 2929.16, 'lastTraded': None}",12152
15,2019/04/24 06:00:00,2019-04-24T05:00:00,"{'bid': 2930.56, 'ask': 2931.16, 'lastTraded': None}","{'bid': 2931.06, 'ask': 2931.66, 'lastTraded': None}","{'bid': 2931.81, 'ask': 2932.41, 'lastTraded': None}","{'bid': 2929.81, 'ask': 2930.41, 'lastTraded': None}",9975
16,2019/04/24 08:00:00,2019-04-24T07:00:00,"{'bid': 2931.31, 'ask': 2931.91, 'lastTraded': None}","{'bid': 2931.56, 'ask': 2932.16, 'lastTraded': None}","{'bid': 2931.81, 'ask': 2932.41, 'lastTraded': None}","{'bid': 2928.06, 'ask': 2928.66, 'lastTraded': None}",25979
17,2019/04/24 10:00:00,2019-04-24T09:00:00,"{'bid': 2931.31, 'ask': 2931.91, 'lastTraded': None}","{'bid': 2934.06, 'ask': 2934.66, 'lastTraded': None}","{'bid': 2935.56, 'ask': 2936.16, 'lastTraded': None}","{'bid': 2931.31, 'ask': 2931.91, 'lastTraded': None}",25223
18,2019/04/24 12:00:00,2019-04-24T11:00:00,"{'bid': 2933.81, 'ask': 2934.41, 'lastTraded': None}","{'bid': 2934.06, 'ask': 2934.66, 'lastTraded': None}","{'bid': 2935.81, 'ask': 2936.41, 'lastTraded': None}","{'bid': 2932.56, 'ask': 2933.16, 'lastTraded': None}",33560
19,2019/04/24 14:00:00,2019-04-24T13:00:00,"{'bid': 2933.81, 'ask': 2934.41, 'lastTraded': None}","{'bid': 2935.51, 'ask': 2935.91, 'lastTraded': None}","{'bid': 2935.51, 'ask': 2935.91, 'lastTraded': None}","{'bid': 2927.66, 'ask': 2928.06, 'lastTraded': None}",359429
20,2019/04/24 16:00:00,2019-04-24T15:00:00,"{'bid': 2935.76, 'ask': 2936.16, 'lastTraded': None}","{'bid': 2928.76, 'ask': 2929.16, 'lastTraded': None}","{'bid': 2936.26, 'ask': 2936.66, 'lastTraded': None}","{'bid': 2928.26, 'ask': 2928.66, 'lastTraded': None}",157331
