,snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
0,2019/04/23 00:00:00,2019-04-22T23:00:00,"{'bid': 9693.0, 'ask': 9701.0, 'lastTraded': None}","{'bid': 9697.0, 'ask': 9705.5, 'lastTraded': None}","{'bid': 9699.0, 'ask': 9707.5, 'lastTraded': None}","{'bid': 9692.0, 'ask': 9700.5, 'lastTraded': None}",307
1,2019/04/23 02:00:00,2019-04-23T01:00:00,"{'bid': 9696.5, 'ask': 9705.0, 'lastTraded': None}","{'bid': 9695.5, 'ask': 9704.5, 'lastTraded': None}","{'bid': 9697.5, 'ask': 9706.0, 'lastTraded': None}","{'bid': 9693.5, 'ask': 9702.5, 'lastTraded': None}",116
2,2019/04/23 04:00:00,2019-04-23T03:00:00,"{'bid': 9695.0, 'ask': 9704.0, 'lastTraded': None}","{'bid': 9696.5, 'ask': 9705.5, 'lastTraded': None}","{'bid': 9697.0, 'ask': 9705.5, 'lastTraded': None}","{'bid': 9693.0, 'ask': 9701.5, 'lastTraded': None}",185
3,2019/04/23 06:00:00,2019-04-23T05:00:00,"{'bid': 9696.0, 'ask': 9705.0, 'lastTraded': None}","{'bid': 9700.0, 'ask': 9709.0, 'lastTraded': None}","{'bid': 9702.5, 'ask': 9711.0, 'lastTraded': None}","{'bid': 9696.0, 'ask': 9704.5, 'lastTraded': None}",422
4,2019/04/23 08:00:00,2019-04-23T07:00:00,"{'bid': 9700.5, 'ask': 9708.5, 'lastTraded': None}","{'bid': 9698.5, 'ask': 9707.0, 'lastTraded': None}","{'bid': 9703.5, 'ask': 9712.0, 'lastTraded': None}","{'bid': 9693.5, 'ask': 9702.0, 'lastTraded': None}",666
5,2019/04/23 10:00:00,2019-04-23T09:00:00,"{'bid': 9699.0, 'ask': 9707.5, 'lastTraded': None}","{'bid': 9696.0, 'ask': 9704.5, 'lastTraded': None}","{'bid': 9699.0, 'ask': 9707.5, 'lastTraded': None}","{'bid': 9691.0, 'ask': 9699.5, 'lastTraded': None}",504
6,2019/04/23 12:00:00,2019-04-23T11:00:00,"{'bid': 9696.5, 'ask': 9705.0, 'lastTraded': None}","{'bid': 9724.0, 'ask': 9732.5, 'lastTraded': None}","{'bid': 9725.0, 'ask': 9733.5, 'lastTraded': None}","{'bid': 9696.0, 'ask': 9705.0, 'lastTraded': None}",1325
7,2019/04/23 14:00:00,2019-04-23T13:00:00,"{'bid': 9724.5, 'ask': 9733.0, 'lastTraded': None}","{'bid': 9731.0, 'ask': 9739.5, 'lastTraded': None}","{'bid': 9742.0, 'ask': 9750.5, 'lastTraded': None}","{'bid': 9723.0, 'ask': 9732.0, 'lastTraded': None}",2504
8,2019/04/23 16:00:00,2019-04-23T15:00:00,"{'bid': 9730.5, 'ask': 9740.0, 'lastTraded': None}","{'bid': 9727.0, 'ask': 9735.5, 'lastTraded': None}","{'bid': 9735.5, 'ask': 9744.5, 'lastTraded': None}","{'bid': 9725.5, 'ask': 9734.0, 'lastTraded': None}",1590
9,2019/04/23 18:00:00,2019-04-23T17:00:00,"{'bid': 9726.5, 'ask': 9735.0, 'lastTraded': None}","{'bid': 9728.0, 'ask': 9736.5, 'lastTraded': None}","{'bid': 9730.0, 'ask': 9739.0, 'lastTraded': None}","{'bid': 9726.5, 'ask': 9735.0, 'lastTraded': None}",543
10,2019/04/23 20:00:00,2019-04-23T19:00:00,"{'bid': 9728.5, 'ask': 9737.0, 'lastTraded': None}","{'bid': 9718.5, 'ask': 9730.0, 'lastTraded': None}","{'bid': 9728.5, 'ask': 9737.0, 'lastTraded': None}","{'bid': 9718.5, 'ask': 9728.5, 'lastTraded': None}",560
11,2019/04/24 00:00:00,2019-04-23T23:00:00,"{'bid': 9722.5, 'ask': 9730.5, 'lastTraded': None}","{'bid': 9727.0, 'ask': 9735.5, 'lastTraded': None}","{'bid': 9727.5, 'ask': 9736.5, 'lastTraded': None}","{'bid': 9722.5, 'ask': 9730.5, 'lastTraded': None}",127
12,2019/04/24 02:00:00,2019-04-24T01:00:00,"{'bid': 9726.5, 'ask': 9735.0, 'lastTraded': None}","{'bid': 9730.5, 'ask': 9739.0, 'lastTraded': None}","{'bid': 9734.5, 'ask': 9743.0, 'lastTraded': None}","{'bid': 9726.5, 'ask': 9735.0, 'lastTraded': None}",626
13,2019/04/24 04:00:00,2019-04-24T03:00:00,"{'bid': 9730.0, 'ask': 9738.5, 'lastTraded': None}","{'bid': 9727.5, 'ask': 9736.5, 'lastTraded': None}","{'bid': 9733.5, 'ask': 9742.0, 'lastTraded': None}","{'bid': 9727.5, 'ask': 9736.0, 'lastTraded': None}",149
14,2019/04/24 06:00:00,2019-04-24T05:00:00,"{'bid': 9728.0, 'ask': 9736.0, 'lastTraded': None}","{'bid': 9734.0, 'ask': 9743.0, 'lastTraded': None}","{'bid': 9735.5, 'ask': 9744.5, 'lastTraded': None}","{'bid': 9726.5, 'ask': 9735.0, 'lastTraded': None}",323
15,2019/04/24 08:00:00,2019-04-24T07:00:00,"{'bid': 9733.5, 'ask': 9742.5, 'lastTraded': None}","{'bid': 9726.5, 'ask': 9735.0, 'lastTraded': None}","{'bid': 9740.5, 'ask': 9749.5, 'lastTraded': None}","{'bid': 9726.0, 'ask': 9734.5, 'lastTraded': None}",1104
