,snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
0,2019/04/28 20:00:00,2019-04-28T19:00:00,"{'bid': 6.73826, 'ask': 6.74396, 'lastTraded': None}","{'bid': 6.7378, 'ask': 6.7435, 'lastTraded': None}","{'bid': 6.73828, 'ask': 6.74398, 'lastTraded': None}","{'bid': 6.73771, 'ask': 6.74341, 'lastTraded': None}",11
1,2019/04/28 22:00:00,2019-04-28T21:00:00,"{'bid': 6.738, 'ask': 6.7437, 'lastTraded': None}","{'bid': 6.73873, 'ask': 6.7408, 'lastTraded': None}","{'bid': 6.73934, 'ask': 6.74493, 'lastTraded': None}","{'bid': 6.73355, 'ask': 6.73855, 'lastTraded': None}",1731
2,2019/04/29 00:00:00,2019-04-28T23:00:00,"{'bid': 6.73885, 'ask': 6.74093, 'lastTraded': None}","{'bid': 6.73694, 'ask': 6.73844, 'lastTraded': None}","{'bid': 6.7397, 'ask': 6.7435, 'lastTraded': None}","{'bid': 6.73308, 'ask': 6.73475, 'lastTraded': None}",6108
3,2019/04/29 02:00:00,2019-04-29T01:00:00,"{'bid': 6.73702, 'ask': 6.73852, 'lastTraded': None}","{'bid': 6.73451, 'ask': 6.73601, 'lastTraded': None}","{'bid': 6.74008, 'ask': 6.74158, 'lastTraded': None}","{'bid': 6.73371, 'ask': 6.73521, 'lastTraded': None}",10650
4,2019/04/29 04:00:00,2019-04-29T03:00:00,"{'bid': 6.73455, 'ask': 6.73605, 'lastTraded': None}","{'bid': 6.73355, 'ask': 6.73505, 'lastTraded': None}","{'bid': 6.73644, 'ask': 6.73786, 'lastTraded': None}","{'bid': 6.73235, 'ask': 6.73385, 'lastTraded': None}",7124
5,2019/04/29 06:00:00,2019-04-29T05:00:00,"{'bid': 6.73351, 'ask': 6.73501, 'lastTraded': None}","{'bid': 6.73503, 'ask': 6.73653, 'lastTraded': None}","{'bid': 6.73658, 'ask': 6.73808, 'lastTraded': None}","{'bid': 6.7321, 'ask': 6.7336, 'lastTraded': None}",9704
6,2019/04/29 08:00:00,2019-04-29T07:00:00,"{'bid': 6.73512, 'ask': 6.73662, 'lastTraded': None}","{'bid': 6.7375, 'ask': 6.739, 'lastTraded': None}","{'bid': 6.74209, 'ask': 6.74359, 'lastTraded': None}","{'bid': 6.73278, 'ask': 6.73425, 'lastTraded': None}",12869
7,2019/04/29 10:00:00,2019-04-29T09:00:00,"{'bid': 6.73749, 'ask': 6.73899, 'lastTraded': None}","{'bid': 6.73803, 'ask': 6.73953, 'lastTraded': None}","{'bid': 6.73985, 'ask': 6.74135, 'lastTraded': None}","{'bid': 6.73654, 'ask': 6.73804, 'lastTraded': None}",7425
8,2019/04/29 12:00:00,2019-04-29T11:00:00,"{'bid': 6.73796, 'ask': 6.73946, 'lastTraded': None}","{'bid': 6.74032, 'ask': 6.74182, 'lastTraded': None}","{'bid': 6.74172, 'ask': 6.74322, 'lastTraded': None}","{'bid': 6.73637, 'ask': 6.73787, 'lastTraded': None}",9210
9,2019/04/29 14:00:00,2019-04-29T13:00:00,"{'bid': 6.74035, 'ask': 6.74185, 'lastTraded': None}","{'bid': 6.74118, 'ask': 6.74268, 'lastTraded': None}","{'bid': 6.74421, 'ask': 6.74571, 'lastTraded': None}","{'bid': 6.74005, 'ask': 6.74155, 'lastTraded': None}",10455
