Unnamed: 0,snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
0,2019/04/23 00:00:00,2019-04-22T23:00:00,"{'bid': 1274.56, 'ask': 1274.86, 'lastTraded': None}","{'bid': 1275.65, 'ask': 1275.95, 'lastTraded': None}","{'bid': 1275.69, 'ask': 1275.99, 'lastTraded': None}","{'bid': 1273.43, 'ask': 1273.81, 'lastTraded': None}",5765
1,2019/04/23 02:00:00,2019-04-23T01:00:00,"{'bid': 1275.64, 'ask': 1275.94, 'lastTraded': None}","{'bid': 1275.05, 'ask': 1275.35, 'lastTraded': None}","{'bid': 1276.46, 'ask': 1276.79, 'lastTraded': None}","{'bid': 1274.59, 'ask': 1274.89, 'lastTraded': None}",11565
2,2019/04/23 04:00:00,2019-04-23T03:00:00,"{'bid': 1275.03, 'ask': 1275.33, 'lastTraded': None}","{'bid': 1274.45, 'ask': 1274.75, 'lastTraded': None}","{'bid': 1275.79, 'ask': 1276.15, 'lastTraded': None}","{'bid': 1274.28, 'ask': 1274.58, 'lastTraded': None}",6114
3,2019/04/23 06:00:00,2019-04-23T05:00:00,"{'bid': 1274.46, 'ask': 1274.76, 'lastTraded': None}","{'bid': 1272.56, 'ask': 1272.86, 'lastTraded': None}","{'bid': 1274.95, 'ask': 1275.25, 'lastTraded': None}","{'bid': 1271.98, 'ask': 1272.28, 'lastTraded': None}",13447
4,2019/04/23 08:00:00,2019-04-23T07:00:00,"{'bid': 1272.55, 'ask': 1272.85, 'lastTraded': None}","{'bid': 1273.19, 'ask': 1273.49, 'lastTraded': None}","{'bid': 1274.37, 'ask': 1274.67, 'lastTraded': None}","{'bid': 1272.26, 'ask': 1272.56, 'lastTraded': None}",13084
5,2019/04/23 10:00:00,2019-04-23T09:00:00,"{'bid': 1273.18, 'ask': 1273.48, 'lastTraded': None}","{'bid': 1273.04, 'ask': 1273.34, 'lastTraded': None}","{'bid': 1273.9, 'ask': 1274.2, 'lastTraded': None}","{'bid': 1272.55, 'ask': 1272.85, 'lastTraded': None}",8489
6,2019/04/23 12:00:00,2019-04-23T11:00:00,"{'bid': 1273.05, 'ask': 1273.35, 'lastTraded': None}","{'bid': 1267.6, 'ask': 1267.9, 'lastTraded': None}","{'bid': 1273.8, 'ask': 1274.1, 'lastTraded': None}","{'bid': 1267.3, 'ask': 1267.6, 'lastTraded': None}",20650
7,2019/04/23 14:00:00,2019-04-23T13:00:00,"{'bid': 1267.59, 'ask': 1267.89, 'lastTraded': None}","{'bid': 1269.02, 'ask': 1269.32, 'lastTraded': None}","{'bid': 1270.14, 'ask': 1270.44, 'lastTraded': None}","{'bid': 1266.23, 'ask': 1266.53, 'lastTraded': None}",29021
8,2019/04/23 16:00:00,2019-04-23T15:00:00,"{'bid': 1269.0, 'ask': 1269.3, 'lastTraded': None}","{'bid': 1272.59, 'ask': 1272.89, 'lastTraded': None}","{'bid': 1272.85, 'ask': 1273.15, 'lastTraded': None}","{'bid': 1268.35, 'ask': 1268.65, 'lastTraded': None}",19306
9,2019/04/23 18:00:00,2019-04-23T17:00:00,"{'bid': 1272.61, 'ask': 1272.91, 'lastTraded': None}","{'bid': 1270.67, 'ask': 1270.97, 'lastTraded': None}","{'bid': 1273.04, 'ask': 1273.34, 'lastTraded': None}","{'bid': 1270.24, 'ask': 1270.54, 'lastTraded': None}",10246
10,2019/04/23 20:00:00,2019-04-23T19:00:00,"{'bid': 1270.6, 'ask': 1270.9, 'lastTraded': None}","{'bid': 1272.12, 'ask': 1272.62, 'lastTraded': None}","{'bid': 1272.41, 'ask': 1272.88, 'lastTraded': None}","{'bid': 1270.55, 'ask': 1270.85, 'lastTraded': None}",5412
11,2019/04/23 22:00:00,2019-04-23T21:00:00,"{'bid': 1272.18, 'ask': 1272.48, 'lastTraded': None}","{'bid': 1271.5, 'ask': 1271.8, 'lastTraded': None}","{'bid': 1272.29, 'ask': 1272.59, 'lastTraded': None}","{'bid': 1271.38, 'ask': 1271.68, 'lastTraded': None}",1498
